timestamps,TP9,AF7,AF8,TP10,Right AUX
1676160251.505,-20.020,-22.949,-27.832,-53.223,0.000
1676160251.509,-8.301,-20.996,-30.273,-24.414,0.000
1676160251.513,14.160,-18.066,-33.203,13.672,0.000
1676160251.516,5.859,-11.230,-20.996,1.465,0.000
1676160251.520,-30.762,-9.766,-20.996,-33.691,0.000
1676160251.524,-27.832,-11.230,-26.855,-24.902,0.000
1676160251.528,-2.441,-10.254,-24.414,15.625,0.000
1676160251.532,-4.883,-17.090,-31.738,-0.488,0.000
1676160251.536,-25.879,-20.508,-37.598,-47.363,0.000
1676160251.540,-31.738,-16.602,-29.785,-45.898,0.000
1676160251.544,-9.277,-14.160,-31.738,-14.160,0.000
1676160251.548,7.324,-12.695,-38.574,-1.465,0.000
1676160251.552,-16.602,-18.066,-38.086,-28.809,0.000
1676160251.556,-32.227,-26.367,-29.297,-52.734,0.000
1676160251.559,-5.859,-24.902,-27.832,-20.996,0.000
1676160251.563,12.207,-17.578,-32.715,11.719,0.000
1676160251.567,-0.977,-18.555,-35.645,-17.578,0.000
1676160251.571,-17.578,-17.090,-30.273,-38.574,0.000
1676160251.575,-12.695,-14.160,-32.227,-7.812,0.000
1676160251.579,4.395,-18.555,-35.156,13.672,0.000
1676160251.583,6.348,-15.137,-28.320,4.883,0.000
1676160251.587,-21.973,-10.254,-23.926,-28.320,0.000
1676160251.591,-26.367,-10.254,-23.926,-41.016,0.000
1676160251.595,-2.930,-10.254,-21.484,-8.301,0.000
1676160251.599,5.371,-14.160,-24.414,6.836,0.000
1676160251.602,-11.719,-17.578,-25.879,-24.902,0.000
1676160251.606,-23.926,-18.555,-25.391,-43.945,0.000
1676160251.610,-7.812,-19.531,-28.320,-10.742,0.000
1676160251.614,13.672,-18.555,-28.809,16.602,0.000
1676160251.618,6.836,-21.973,-27.344,-2.441,0.000
1676160251.622,-26.855,-16.602,-29.785,-46.875,0.000
1676160251.626,-18.066,-17.090,-37.598,-28.320,0.000
1676160251.630,12.695,-22.949,-45.410,7.812,0.000
1676160251.634,7.812,-16.113,-41.016,-14.648,0.000
1676160251.638,-19.531,-13.184,-34.668,-59.082,0.000
1676160251.641,-7.324,-15.625,-27.344,-36.133,0.000
1676160251.645,25.879,-8.301,-22.461,20.996,0.000
1676160251.649,24.414,-8.789,-28.809,11.230,0.000
1676160251.653,-2.441,-16.113,-21.973,-26.855,0.000
1676160251.657,-11.230,-15.137,-22.949,-36.133,0.000
1676160251.661,10.742,-14.648,-30.273,-3.418,0.000
1676160251.665,17.578,-18.555,-33.691,4.883,0.000
1676160251.669,-15.137,-25.391,-39.551,-49.316,0.000
1676160251.673,-18.555,-23.926,-37.598,-47.363,0.000
1676160251.677,11.230,-20.508,-32.227,2.930,0.000
1676160251.681,22.949,-18.066,-29.297,20.996,0.000
1676160251.684,-0.488,-9.766,-35.645,-7.812,0.000
1676160251.688,-25.391,-7.812,-34.668,-28.320,0.000
1676160251.692,-17.578,-14.160,-30.762,-7.324,0.000
1676160251.696,6.348,-16.113,-26.367,14.648,0.000
1676160251.700,11.719,-15.137,-17.090,3.418,0.000
1676160251.704,-16.602,-20.020,-17.090,-30.762,0.000
1676160251.708,-21.484,-16.113,-23.926,-14.160,0.000
1676160251.712,-1.953,-14.160,-23.438,7.812,0.000
1676160251.716,4.395,-24.902,-19.531,0.000,0.000
1676160251.720,-16.602,-24.414,-24.414,-34.668,0.000
1676160251.724,-35.156,-18.555,-29.297,-43.945,0.000
1676160251.727,-8.789,-18.555,-27.832,-5.859,0.000
1676160251.731,15.137,-25.879,-30.273,11.719,0.000
1676160251.735,-6.836,-21.484,-30.762,-14.160,0.000
1676160251.739,-24.902,-20.020,-30.762,-39.551,0.000
1676160251.743,-1.465,-27.832,-27.344,-13.672,0.000
1676160251.747,23.926,-25.391,-27.832,25.391,0.000
1676160251.751,2.930,-20.020,-33.691,16.602,0.000
1676160251.755,-23.438,-17.090,-31.738,-15.137,0.000
1676160251.759,-19.043,-15.137,-33.203,-10.254,0.000
1676160251.763,4.395,-18.555,-33.691,24.414,0.000
1676160251.766,13.184,-18.066,-29.785,20.508,0.000
1676160251.770,-14.160,-16.113,-30.762,-16.113,0.000
1676160251.774,-20.508,-11.230,-27.832,-14.160,0.000
1676160251.778,10.254,-9.766,-23.926,27.344,0.000
1676160251.782,18.555,-17.578,-24.902,30.762,0.000
1676160251.786,-7.812,-15.137,-28.320,-13.184,0.000
1676160251.790,-19.043,-14.160,-30.273,-21.484,0.000
1676160251.794,6.348,-16.602,-25.879,28.320,0.000
1676160251.798,26.367,-18.555,-20.996,55.176,0.000
1676160251.802,3.418,-18.066,-20.996,8.789,0.000
1676160251.806,-23.438,-16.113,-25.391,-29.297,0.000
1676160251.809,-4.883,-16.602,-27.832,-2.441,0.000
1676160251.813,18.555,-15.625,-25.391,25.391,0.000
1676160251.817,-3.418,-13.184,-28.809,-2.930,0.000
1676160251.821,-28.320,-12.207,-31.738,-28.809,0.000
1676160251.825,-10.742,-16.602,-29.785,-5.859,0.000
1676160251.829,15.137,-13.184,-26.855,19.531,0.000
1676160251.833,13.184,-11.719,-30.762,6.348,0.000
1676160251.837,-16.113,-15.625,-34.180,-26.855,0.000
1676160251.841,-15.625,-18.555,-24.902,-23.438,0.000
1676160251.845,10.254,-20.508,-24.414,9.277,0.000
1676160251.848,15.137,-20.020,-36.133,6.836,0.000
1676160251.852,-22.949,-24.902,-36.621,-32.715,0.000
1676160251.856,-34.668,-20.508,-29.297,-41.016,0.000
1676160251.860,-0.977,-14.648,-33.203,-6.836,0.000
1676160251.864,7.324,-17.090,-31.250,6.348,0.000
1676160251.868,-2.441,-16.602,-24.902,-16.113,0.000
1676160251.872,-14.648,-11.230,-28.320,-27.344,0.000
1676160251.876,-9.277,-8.789,-30.762,-3.418,0.000
1676160251.880,16.602,-12.207,-25.391,18.555,0.000
1676160251.884,13.184,-11.230,-23.438,8.789,0.000
1676160251.888,-14.160,-12.695,-21.973,-13.672,0.000
1676160251.891,-17.090,-16.113,-25.879,-9.766,0.000
1676160251.895,7.324,-14.160,-35.156,19.043,0.000
1676160251.899,20.996,-17.578,-28.809,30.762,0.000
1676160251.903,-5.371,-18.555,-19.043,-0.977,0.000
1676160251.907,-22.949,-14.648,-27.832,-32.715,0.000
1676160251.911,-3.418,-15.625,-30.273,4.395,0.000
1676160251.915,12.695,-20.996,-30.273,17.578,0.000
1676160251.919,-1.465,-20.508,-36.133,-24.414,0.000
1676160251.923,-16.113,-16.113,-31.738,-32.715,0.000
1676160251.927,1.953,-17.090,-24.902,-4.883,0.000
1676160251.931,27.344,-14.648,-22.949,20.020,0.000
1676160251.934,10.254,-10.254,-20.996,-5.371,0.000
1676160251.938,-30.762,-20.508,-28.809,-45.898,0.000
1676160251.942,-22.949,-23.926,-34.180,-24.414,0.000
1676160251.946,14.648,-17.578,-28.809,18.555,0.000
1676160251.950,7.324,-21.484,-27.344,9.766,0.000
1676160251.954,-30.762,-26.855,-29.297,-26.367,0.000
1676160251.958,-20.996,-20.508,-37.109,-20.508,0.000
1676160251.962,8.789,-13.672,-31.738,20.020,0.000
1676160251.966,10.254,-17.090,-24.414,23.438,0.000
1676160251.970,-12.207,-19.531,-28.320,-15.137,0.000
1676160251.974,-22.949,-21.484,-30.273,-17.578,0.000
1676160251.977,1.465,-16.602,-30.273,27.344,0.000
1676160251.981,21.484,-9.766,-32.715,35.156,0.000
1676160251.985,-8.301,-15.625,-40.527,-21.973,0.000
1676160251.989,-25.391,-22.461,-43.457,-40.039,0.000
1676160251.993,6.836,-22.949,-27.832,15.625,0.000
1676160251.997,16.602,-21.484,-28.809,18.555,0.000
