timestamps,TP9,AF7,AF8,TP10,Right AUX
1676160123.790,90.820,23.926,-41.992,102.051,0.000
1676160123.794,4.395,16.113,-58.594,-30.273,0.000
1676160123.797,42.480,21.484,-35.156,56.641,0.000
1676160123.801,97.168,22.461,-34.668,151.367,0.000
1676160123.805,75.684,20.508,-37.109,105.957,0.000
1676160123.809,40.039,29.297,-16.602,22.461,0.000
1676160123.813,41.992,38.574,-19.043,34.180,0.000
1676160123.817,66.406,33.203,-39.062,120.117,0.000
1676160123.821,88.379,35.156,-27.344,139.160,0.000
1676160123.825,47.852,40.527,-18.066,32.227,0.000
1676160123.829,27.832,42.969,-9.766,17.090,0.000
1676160123.833,60.547,38.086,-19.531,110.352,0.000
1676160123.837,51.758,26.367,-48.340,108.887,0.000
1676160123.840,41.992,34.668,-29.297,44.434,0.000
1676160123.844,9.766,30.273,-19.531,-9.277,0.000
1676160123.848,18.555,17.578,-41.504,34.180,0.000
1676160123.852,64.941,21.484,-50.293,101.562,0.000
1676160123.856,70.801,34.180,-29.297,81.055,0.000
1676160123.860,27.344,43.457,-19.531,-4.883,0.000
1676160123.864,15.625,37.109,-28.320,-4.395,0.000
1676160123.868,62.012,30.762,-17.578,112.305,0.000
1676160123.872,81.543,46.387,-1.465,119.629,0.000
1676160123.876,25.391,50.293,6.348,11.719,0.000
1676160123.879,-40.039,40.039,-21.973,-41.504,0.000
1676160123.883,-13.672,39.551,-38.574,23.926,0.000
1676160123.887,28.320,51.270,-2.441,63.477,0.000
1676160123.891,-42.480,60.059,8.789,-63.477,0.000
1676160123.895,-123.047,58.594,6.348,-148.438,0.000
1676160123.899,-116.211,49.316,11.230,-84.473,0.000
1676160123.903,-83.008,51.758,26.855,-32.715,0.000
1676160123.907,-139.648,57.129,42.969,-135.254,0.000
1676160123.911,-260.742,47.852,27.344,-297.852,0.000
1676160123.915,-277.344,39.551,29.785,-279.297,0.000
1676160123.919,-228.516,43.457,56.152,-174.316,0.000
1676160123.922,-256.348,45.410,49.316,-235.840,0.000
1676160123.926,-367.676,33.203,6.836,-411.621,0.000
1676160123.930,-352.051,42.969,9.766,-376.953,0.000
1676160123.934,-268.066,50.781,18.066,-250.488,0.000
1676160123.938,-249.023,55.176,12.207,-248.047,0.000
1676160123.942,-293.457,58.105,0.977,-349.609,0.000
1676160123.946,-298.828,53.223,3.906,-352.539,0.000
1676160123.950,-233.887,48.828,8.789,-230.957,0.000
1676160123.954,-205.566,45.898,-12.207,-203.613,0.000
1676160123.958,-226.074,56.152,-7.324,-275.391,0.000
1676160123.961,-232.910,61.523,2.441,-295.410,0.000
1676160123.965,-166.992,61.035,-3.418,-178.223,0.000
1676160123.969,-133.301,48.340,-25.391,-124.023,0.000
1676160123.973,-161.133,45.898,-40.527,-207.031,0.000
1676160123.977,-157.715,60.059,-22.949,-242.676,0.000
1676160123.981,-130.859,50.293,-29.297,-176.758,0.000
1676160123.985,-83.496,32.715,-50.781,-85.938,0.000
1676160123.989,-74.219,30.273,-42.480,-93.262,0.000
1676160123.993,-86.426,34.180,-14.160,-128.418,0.000
1676160123.997,-64.941,23.926,-22.461,-84.473,0.000
1676160124.001,-7.812,5.371,-42.480,12.207,0.000
1676160124.004,20.996,-5.371,-42.480,33.203,0.000
1676160124.008,14.648,7.812,-23.438,-16.113,0.000
1676160124.012,8.301,5.859,-29.785,-24.902,0.000
1676160124.016,19.531,-27.344,-69.824,18.555,0.000
1676160124.020,68.359,-27.832,-56.641,88.379,0.000
1676160124.024,60.059,-19.531,-35.645,49.805,0.000
1676160124.028,35.645,-18.066,-39.062,1.953,0.000
1676160124.032,72.266,-16.602,-42.480,88.379,0.000
1676160124.036,127.930,-13.184,-36.621,178.711,0.000
1676160124.040,115.723,-6.836,-40.527,128.906,0.000
1676160124.044,59.570,-8.301,-54.688,35.645,0.000
1676160124.047,76.172,-11.719,-58.105,81.543,0.000
1676160124.051,145.508,-11.230,-44.434,199.707,0.000
1676160124.055,166.992,-3.418,-29.785,198.242,0.000
1676160124.059,105.469,-1.953,-37.598,79.590,0.000
1676160124.063,84.473,-8.301,-55.176,67.871,0.000
1676160124.067,152.832,2.441,-43.457,195.801,0.000
1676160124.071,185.059,11.719,-36.621,234.375,0.000
1676160124.075,123.047,6.836,-61.523,92.285,0.000
1676160124.079,83.984,5.371,-60.059,48.828,0.000
1676160124.083,135.742,5.371,-44.434,185.547,0.000
1676160124.087,182.617,10.254,-45.410,240.234,0.000
1676160124.090,149.414,16.113,-44.922,157.715,0.000
1676160124.094,118.164,22.949,-36.621,106.934,0.000
1676160124.098,149.902,20.508,-38.086,180.176,0.000
1676160124.102,193.848,18.066,-36.621,255.859,0.000
1676160124.106,158.203,18.066,-45.898,165.527,0.000
1676160124.110,92.285,12.695,-57.617,31.738,0.000
1676160124.114,152.344,25.879,-24.414,121.094,0.000
1676160124.118,199.707,24.902,-29.785,216.797,0.000
1676160124.122,147.949,11.230,-64.453,134.277,0.000
1676160124.125,120.605,29.297,-36.621,68.359,0.000
1676160124.129,104.980,29.785,-32.715,74.219,0.000
1676160124.133,127.930,16.113,-53.223,140.625,0.000
1676160124.137,134.766,18.066,-52.246,156.250,0.000
1676160124.141,105.469,32.227,-31.738,82.031,0.000
1676160124.145,89.355,32.715,-29.297,50.293,0.000
1676160124.149,118.652,24.414,-45.410,122.070,0.000
1676160124.153,145.996,22.461,-54.199,166.504,0.000
1676160124.157,120.605,25.391,-46.387,102.539,0.000
1676160124.161,113.281,44.434,-18.555,80.566,0.000
1676160124.165,104.980,32.227,-41.504,123.047,0.000
1676160124.168,129.395,18.555,-56.641,172.852,0.000
1676160124.172,151.855,34.668,-27.832,165.039,0.000
1676160124.176,102.539,33.691,-26.367,83.984,0.000
1676160124.180,89.355,22.461,-41.504,98.633,0.000
1676160124.184,149.902,27.344,-38.574,201.172,0.000
1676160124.188,179.688,38.086,-24.414,211.914,0.000
1676160124.192,117.188,36.621,-24.902,108.887,0.000
1676160124.196,84.473,34.180,-26.855,82.520,0.000
1676160124.200,119.629,31.738,-33.691,151.855,0.000
1676160124.204,165.039,44.434,-20.020,202.637,0.000
1676160124.208,122.559,50.781,-18.555,125.488,0.000
1676160124.211,29.785,33.203,-52.246,-2.441,0.000
1676160124.215,74.219,36.621,-45.410,72.754,0.000
1676160124.219,135.254,41.992,-31.250,160.156,0.000
1676160124.223,95.703,35.156,-30.273,87.402,0.000
1676160124.227,40.039,32.715,-30.762,-2.441,0.000
1676160124.231,70.801,34.180,-25.879,61.523,0.000
1676160124.235,112.305,28.809,-31.250,149.414,0.000
1676160124.239,87.402,28.320,-35.645,97.656,0.000
1676160124.243,43.457,34.180,-26.855,12.207,0.000
1676160124.247,36.133,26.367,-32.715,32.227,0.000
1676160124.251,92.285,22.461,-25.879,144.531,0.000
1676160124.254,83.496,20.020,-35.156,126.465,0.000
1676160124.258,21.973,19.531,-40.527,8.789,0.000
1676160124.262,20.996,21.973,-29.297,7.324,0.000
1676160124.266,45.898,20.996,-36.621,86.914,0.000
1676160124.270,56.641,26.855,-40.039,108.398,0.000
1676160124.274,20.508,39.062,-35.645,23.438,0.000
1676160124.278,-5.859,41.992,-22.949,-31.738,0.000
1676160124.282,5.371,27.344,-18.555,20.996,0.000
1676160124.286,17.090,22.461,-30.273,59.082,0.000
1676160124.290,-7.812,38.086,-29.297,-6.348,0.000
1676160124.293,-46.875,54.199,-5.371,-76.172,0.000
