timestamps,TP9,AF7,AF8,TP10,Right AUX
1676160186.058,106.934,354.492,54.199,101.562,0.000
1676160186.062,57.617,340.820,70.801,34.668,0.000
1676160186.066,54.199,338.379,77.148,24.414,0.000
1676160186.070,94.238,326.660,92.285,95.703,0.000
1676160186.074,120.605,324.707,93.262,128.906,0.000
1676160186.078,94.727,318.359,85.938,74.707,0.000
1676160186.082,67.871,306.641,97.656,46.387,0.000
1676160186.086,72.754,291.992,87.891,69.824,0.000
1676160186.090,93.750,285.156,85.938,105.957,0.000
1676160186.093,96.191,274.414,120.605,83.008,0.000
1676160186.097,60.059,257.812,118.652,11.719,0.000
1676160186.101,63.965,250.977,91.309,44.922,0.000
1676160186.105,105.957,247.070,85.938,113.281,0.000
1676160186.109,106.934,231.934,82.520,95.215,0.000
1676160186.113,75.195,229.492,89.844,45.410,0.000
1676160186.117,82.520,231.934,110.352,63.965,0.000
1676160186.121,125.000,218.262,115.723,131.836,0.000
1676160186.125,137.207,210.938,114.258,145.996,0.000
1676160186.129,101.562,218.262,118.652,89.355,0.000
1676160186.133,81.543,213.379,116.211,66.895,0.000
1676160186.136,112.305,200.684,110.840,130.371,0.000
1676160186.140,148.926,208.984,116.211,166.504,0.000
1676160186.144,125.488,201.660,119.629,101.074,0.000
1676160186.148,83.008,174.316,117.188,57.129,0.000
1676160186.152,108.398,170.410,114.258,116.699,0.000
1676160186.156,151.855,186.523,114.746,167.969,0.000
1676160186.160,131.836,178.711,112.305,130.859,0.000
1676160186.164,83.008,156.738,110.352,65.430,0.000
1676160186.168,94.727,156.250,113.281,97.656,0.000
1676160186.172,142.090,164.062,120.605,179.688,0.000
1676160186.175,126.953,161.133,113.770,153.320,0.000
1676160186.179,73.730,151.855,104.492,62.988,0.000
1676160186.183,71.289,142.578,105.469,54.199,0.000
1676160186.187,98.633,126.953,104.492,114.746,0.000
1676160186.191,108.398,120.605,102.051,123.535,0.000
1676160186.195,83.008,124.512,104.492,63.965,0.000
1676160186.199,55.664,112.793,98.145,41.992,0.000
1676160186.203,71.777,91.797,81.055,100.098,0.000
1676160186.207,94.727,86.426,83.008,123.535,0.000
1676160186.211,71.289,92.773,87.402,74.219,0.000
1676160186.215,41.016,89.355,78.125,31.738,0.000
1676160186.218,65.430,71.777,60.547,61.523,0.000
1676160186.222,94.238,70.312,54.199,98.633,0.000
1676160186.226,78.613,77.148,64.941,65.430,0.000
1676160186.230,40.039,61.035,61.523,10.254,0.000
1676160186.234,41.992,57.129,55.176,26.367,0.000
1676160186.238,82.520,52.246,59.082,72.754,0.000
1676160186.242,84.473,34.668,43.457,65.430,0.000
1676160186.246,48.340,36.621,38.574,13.184,0.000
1676160186.250,35.645,44.922,49.316,0.000,0.000
1676160186.254,59.570,41.992,32.715,60.059,0.000
1676160186.258,77.148,21.484,37.598,79.102,0.000
1676160186.261,51.758,9.766,44.434,19.043,0.000
1676160186.265,20.996,12.207,21.484,-16.602,0.000
1676160186.269,37.109,5.859,13.184,34.180,0.000
1676160186.273,73.730,-7.324,25.391,85.938,0.000
1676160186.277,65.918,1.953,27.832,46.387,0.000
1676160186.281,17.578,10.742,18.066,-30.762,0.000
1676160186.285,32.715,11.230,10.742,2.441,0.000
1676160186.289,62.988,15.137,8.301,50.781,0.000
1676160186.293,48.340,5.859,3.906,17.578,0.000
1676160186.297,13.184,3.418,-9.277,-54.199,0.000
1676160186.301,12.207,0.977,-13.184,-29.785,0.000
1676160186.304,63.965,-14.648,-14.648,58.594,0.000
1676160186.308,68.359,-4.883,-11.230,47.363,0.000
1676160186.312,19.043,9.277,-12.695,-27.344,0.000
1676160186.316,-2.441,3.906,-21.973,-48.340,0.000
1676160186.320,32.715,-4.883,-20.020,17.090,0.000
1676160186.324,54.199,-14.648,-32.715,43.945,0.000
1676160186.328,28.809,-24.414,-45.898,-18.066,0.000
1676160186.332,3.418,-38.086,-29.785,-40.527,0.000
1676160186.336,31.738,-15.137,-24.902,25.391,0.000
1676160186.340,70.312,-1.953,-38.086,66.895,0.000
1676160186.343,44.922,-62.500,-39.551,12.207,0.000
1676160186.347,3.906,-60.059,-39.062,-47.363,0.000
1676160186.351,33.691,-76.172,-38.574,2.441,0.000
1676160186.355,74.707,-54.199,-47.852,70.801,0.000
1676160186.359,71.777,-13.672,-28.320,64.453,0.000
1676160186.363,60.547,-272.461,-40.527,33.203,0.000
1676160186.367,62.012,-270.508,-87.402,38.574,0.000
1676160186.371,55.176,74.219,-61.035,51.270,0.000
1676160186.375,47.363,78.613,-51.270,40.039,0.000
1676160186.379,17.578,-122.559,-72.754,-11.719,0.000
1676160186.383,-2.441,-56.641,-109.863,-32.715,0.000
1676160186.386,47.852,37.109,-70.312,41.992,0.000
1676160186.390,89.355,25.391,19.043,94.238,0.000
1676160186.394,56.641,-83.008,-129.883,43.945,0.000
1676160186.398,-4.883,-208.008,-116.211,-35.156,0.000
1676160186.402,1.465,-64.453,-19.531,15.137,0.000
1676160186.406,15.625,131.348,-79.102,53.223,0.000
1676160186.410,52.246,-12.695,-160.645,75.195,0.000
1676160186.414,-21.484,-170.410,-266.113,-20.020,0.000
1676160186.418,-153.809,35.645,-110.352,-143.066,0.000
1676160186.422,-166.992,41.016,-61.523,-107.422,0.000
1676160186.425,-225.586,-67.383,-207.031,-169.922,0.000
1676160186.429,-243.652,-183.594,-194.824,-220.215,0.000
1676160186.433,-194.336,-373.535,-220.215,-176.270,0.000
1676160186.437,-200.684,-321.289,-294.922,-153.320,0.000
1676160186.441,-192.383,-212.402,-240.723,-140.625,0.000
1676160186.445,-261.719,-226.074,-302.734,-229.492,0.000
1676160186.449,-297.852,-274.902,-341.797,-267.090,0.000
1676160186.453,-249.023,-202.637,-371.582,-191.895,0.000
1676160186.457,-240.723,-323.730,-307.617,-154.297,0.000
1676160186.461,-279.785,-360.352,-187.500,-227.539,0.000
1676160186.465,-328.613,-90.820,-169.434,-306.641,0.000
1676160186.468,-317.383,-76.172,-176.758,-266.113,0.000
1676160186.472,-285.645,-175.781,-239.746,-228.516,0.000
1676160186.476,-273.926,-194.336,-257.812,-242.188,0.000
1676160186.480,-284.668,-200.684,-249.023,-269.043,0.000
1676160186.484,-249.512,-197.266,-238.281,-222.168,0.000
1676160186.488,-192.383,-208.008,-215.332,-134.766,0.000
1676160186.492,-176.270,-187.988,-204.590,-116.699,0.000
1676160186.496,-190.918,-143.555,-199.219,-160.645,0.000
1676160186.500,-192.383,-108.398,-196.777,-159.180,0.000
1676160186.504,-145.996,-119.141,-182.617,-70.312,0.000
1676160186.508,-105.957,-125.488,-174.805,-32.227,0.000
1676160186.511,-140.625,-87.402,-181.152,-102.539,0.000
